Index,Incoming Calls,Answered Calls,Blocked Calls,Response Time ,Talk Duration (AVG),Waiting Time (AVG)
1,217,204,13,0:00:17,0:02:14,0:02:45
2,200,182,18,0:00:20,0:02:22,0:06:55
3,216,198,18,0:00:18,0:02:38,0:03:50
4,155,145,10,0:00:15,0:02:29,0:03:12
5,37,37,0,0:00:03,0:02:06,0:00:35
6,315,304,11,0:00:18,0:01:35,0:02:37
7,252,244,8,0:00:13,0:01:50,0:02:02
8,213,205,8,0:00:10,0:02:10,0:03:22
9,219,200,19,0:00:15,0:02:18,0:06:12
10,371,348,23,0:00:19,0:01:40,0:03:29
11,166,164,2,0:00:12,0:02:10,0:02:46
12,32,32,0,0:00:02,0:02:03,0:00:03
13,231,222,9,0:00:08,0:01:49,0:02:18
14,205,197,8,0:00:07,0:01:52,0:02:48
15,338,313,25,0:00:13,0:01:51,0:03:40
16,180,174,6,0:00:13,0:02:18,0:03:26
17,226,211,15,0:00:20,0:02:04,0:04:53
18,226,212,14,0:00:10,0:02:03,0:02:45
19,45,44,1,0:00:02,0:02:04,0:00:55
20,218,194,24,0:00:26,0:02:43,0:06:28
21,187,174,13,0:00:15,0:02:16,0:04:39
22,191,184,7,0:00:10,0:02:09,0:03:40
23,188,174,14,0:00:15,0:02:25,0:03:09
24,154,148,6,0:00:10,0:02:27,0:03:36
25,166,150,16,0:00:18,0:02:26,0:04:38
26,58,57,1,0:00:04,0:02:26,0:00:58
27,160,153,7,0:00:10,0:02:23,0:02:45
28,86,79,7,0:00:32,0:02:43,0:04:40
29,180,170,10,0:00:23,0:02:31,0:05:45
30,210,192,18,0:00:26,0:02:16,0:05:35
31,163,157,6,0:00:14,0:02:19,0:02:55
32,143,140,3,0:00:15,0:02:20,0:04:43
33,57,55,2,0:00:06,0:02:03,0:01:50
34,179,172,7,0:00:13,0:02:17,0:03:23
35,194,184,10,0:00:24,0:02:24,0:03:19
36,201,196,5,0:00:15,0:02:16,0:04:53
37,218,189,29,0:00:32,0:02:37,0:08:04
38,194,190,4,0:00:16,0:02:22,0:02:02
39,227,219,8,0:00:15,0:02:44,0:03:55
40,52,52,0,0:00:09,0:02:16,0:00:52
41,385,370,15,0:00:20,0:02:11,0:03:10
42,137,130,7,0:00:16,0:02:26,0:09:47
43,254,252,2,0:00:10,0:02:08,0:01:10
44,211,206,5,0:00:11,0:02:24,0:04:37
45,282,279,3,0:00:07,0:02:18,0:01:11
46,262,260,2,0:00:08,0:02:31,0:01:13
47,65,63,2,0:00:12,0:02:22,0:02:10
48,325,323,2,0:00:05,0:02:13,0:01:14
49,235,230,5,0:00:05,0:02:19,0:00:58
50,215,212,3,0:00:05,0:02:14,0:00:58
51,85,85,0,0:00:03,0:02:26,0:00:55
52,195,195,0,0:00:05,0:02:24,0:02:13
53,188,182,6,0:00:15,0:02:14,0:01:51
54,58,58,0,0:00:06,0:02:22,0:00:52
55,251,247,4,0:00:14,0:02:16,0:01:53
56,181,178,3,0:00:12,0:02:24,0:01:57
57,228,213,15,0:00:26,0:02:16,0:03:07
58,165,163,2,0:00:09,0:02:25,0:02:20
59,185,179,6,0:00:17,0:02:17,0:02:33
60,172,164,8,0:00:18,0:02:27,0:04:09
61,57,51,6,0:00:07,0:01:47,0:03:40
62,200,192,8,0:00:10,0:02:18,0:02:49
63,202,199,3,0:00:08,0:02:05,0:01:17
64,217,212,5,0:00:07,0:01:55,0:01:50
65,225,223,2,0:00:09,0:02:09,0:01:06
66,235,231,4,0:00:08,0:02:19,0:01:06
67,202,201,1,0:00:08,0:02:21,0:01:53
68,43,39,4,0:00:11,0:02:15,0:01:50
69,194,187,7,0:00:10,0:02:27,0:02:30
70,202,199,3,0:00:13,0:02:23,0:01:58
71,146,140,6,0:00:12,0:02:13,0:04:35
72,147,145,2,0:00:09,0:02:15,0:00:58
73,155,145,10,0:00:12,0:02:33,0:04:33
74,157,156,1,0:00:09,0:02:24,0:00:53
75,38,36,2,0:00:13,0:02:11,0:00:59
76,166,162,4,0:00:09,0:02:29,0:02:45
77,226,216,10,0:00:13,0:02:15,0:01:46
78,253,247,6,0:00:10,0:01:54,0:01:17
79,134,134,0,0:00:03,0:02:13,0:00:26
80,70,67,3,0:00:12,0:02:01,0:01:16
81,83,82,1,0:00:07,0:02:03,0:01:16
82,42,40,2,0:00:08,0:01:51,0:01:36
83,66,64,2,0:00:05,0:02:00,0:01:39
84,153,146,7,0:00:20,0:02:08,0:04:32
85,141,135,6,0:00:23,0:02:06,0:02:15
86,146,143,3,0:00:17,0:01:57,0:02:27
87,144,140,4,0:00:12,0:01:53,0:02:05
88,105,103,2,0:00:17,0:01:55,0:02:01
89,36,35,1,0:00:16,0:01:54,0:01:31
90,61,57,4,0:00:04,0:02:00,0:03:41
91,60,58,2,0:00:11,0:02:08,0:01:34
92,18,17,1,0:00:05,0:02:39,0:00:20
93,206,202,4,0:00:09,0:01:54,0:01:10
94,194,193,1,0:00:11,0:01:57,0:01:34
95,206,200,6,0:00:10,0:02:08,0:02:00
96,53,53,0,0:00:18,0:02:08,0:02:10
97,147,145,2,0:00:09,0:01:50,0:01:24
98,201,197,4,0:00:09,0:01:59,0:02:23
99,202,198,4,0:00:10,0:02:09,0:01:11
100,226,219,7,0:00:10,0:02:12,0:02:45
101,167,163,4,0:00:07,0:02:09,0:01:50
102,164,164,0,0:00:11,0:02:17,0:01:45
103,42,41,1,0:00:11,0:02:09,0:01:18
104,79,78,1,0:00:07,0:02:23,0:00:48
105,165,162,3,0:00:09,0:02:09,0:01:50
106,180,174,6,0:00:16,0:02:16,0:01:43
107,179,176,3,0:00:10,0:02:26,0:01:50
108,217,215,2,0:00:08,0:02:08,0:02:07
109,171,167,4,0:00:10,0:02:15,0:01:50
110,37,37,0,0:00:09,0:01:57,0:01:22
111,215,206,9,0:00:18,0:02:09,0:02:45
112,218,212,6,0:00:16,0:02:17,0:02:09
113,205,202,3,0:00:11,0:02:25,0:01:37
114,195,190,5,0:00:12,0:02:22,0:01:14
115,181,176,5,0:00:13,0:02:13,0:01:16
116,212,206,6,0:00:11,0:02:20,0:01:49
117,33,32,1,0:00:08,0:02:28,0:00:55
118,298,287,11,0:00:13,0:01:35,0:02:51
119,158,156,2,0:00:11,0:02:23,0:01:32
120,156,154,2,0:00:12,0:02:13,0:01:01
121,163,163,0,0:00:10,0:02:02,0:02:46
122,98,98,0,0:00:07,0:02:10,0:01:10
123,255,249,6,0:00:15,0:02:19,0:05:31
124,50,49,1,0:00:08,0:02:02,0:00:57
125,290,289,1,0:00:12,0:02:01,0:01:10
126,296,281,15,0:00:22,0:02:08,0:04:30
127,260,257,3,0:00:17,0:02:13,0:01:20
128,201,193,8,0:00:19,0:02:23,0:02:02
129,132,131,1,0:00:17,0:02:13,0:01:30
130,167,165,2,0:00:09,0:02:06,0:00:57
131,85,79,6,0:00:18,0:02:25,0:01:53
132,244,236,8,0:00:21,0:02:29,0:01:56
133,186,182,4,0:00:14,0:02:13,0:01:38
134,278,264,14,0:00:19,0:02:20,0:02:10
135,272,268,4,0:00:15,0:02:30,0:01:45
136,218,206,12,0:00:25,0:02:21,0:03:41
137,152,148,4,0:00:14,0:02:18,0:01:25
138,48,43,5,0:00:22,0:02:01,0:01:21
139,186,181,5,0:00:14,0:02:20,0:01:49
140,182,180,2,0:00:08,0:02:10,0:00:58
141,192,188,4,0:00:20,0:01:58,0:01:56
142,155,148,7,0:00:14,0:02:24,0:02:18
143,144,142,2,0:00:11,0:02:19,0:01:05
144,164,162,2,0:00:12,0:02:35,0:01:50
145,27,26,1,0:00:11,0:02:04,0:01:17
146,177,175,2,0:00:11,0:02:19,0:01:35
147,134,131,3,0:00:14,0:02:23,0:01:39
148,125,120,5,0:00:14,0:02:20,0:02:52
149,167,163,4,0:00:16,0:02:24,0:01:12
150,169,167,2,0:00:09,0:02:14,0:01:44
151,162,160,2,0:00:16,0:02:15,0:01:31
152,25,25,0,0:00:16,0:02:35,0:00:58
153,157,146,11,0:00:17,0:02:17,0:01:51
154,166,154,12,0:00:25,0:02:18,0:03:39
155,58,55,3,0:00:16,0:02:11,0:02:45
156,75,74,1,0:00:15,0:02:13,0:03:18
157,28,28,0,0:00:07,0:02:28,0:00:51
158,108,107,1,0:00:09,0:02:11,0:00:59
159,21,21,0,0:00:07,0:02:58,0:00:58
160,189,182,7,0:00:21,0:02:10,0:04:46
161,161,155,6,0:00:19,0:02:27,0:01:50
162,155,151,4,0:00:17,0:02:20,0:01:49
163,161,150,11,0:00:17,0:02:22,0:02:45
164,132,129,3,0:00:27,0:02:22,0:02:34
165,122,119,3,0:00:16,0:02:24,0:01:50
166,17,17,0,0:00:21,0:02:40,0:00:58
167,45,45,0,0:00:06,0:02:06,0:00:57
168,177,172,5,0:00:20,0:02:23,0:02:51
169,133,132,1,0:00:10,0:02:25,0:00:59
170,177,167,10,0:00:15,0:02:22,0:04:35
171,127,124,3,0:00:16,0:02:22,0:01:45
172,148,147,1,0:00:16,0:02:11,0:03:11
173,23,23,0,0:00:32,0:02:02,0:02:43
174,141,134,7,0:00:24,0:02:38,0:02:29
175,124,120,4,0:00:20,0:02:33,0:02:58
176,165,156,9,0:00:25,0:02:21,0:02:38
177,168,166,2,0:00:21,0:02:33,0:03:43
178,198,188,10,0:00:22,0:02:32,0:02:45
179,139,133,6,0:00:17,0:02:40,0:03:03
180,46,45,1,0:00:10,0:02:14,0:01:16
181,184,174,10,0:00:23,0:02:37,0:04:35
182,207,190,17,0:00:21,0:02:23,0:04:06
183,191,180,11,0:00:21,0:02:32,0:01:53
184,213,204,9,0:00:24,0:02:26,0:02:46
185,483,451,32,0:00:16,0:00:57,0:08:45
186,547,526,21,0:00:19,0:01:21,0:03:54
187,54,53,1,0:00:25,0:02:36,0:01:18
188,275,261,14,0:00:22,0:02:13,0:02:12
189,205,195,10,0:00:24,0:02:34,0:03:00
190,80,77,3,0:00:10,0:02:11,0:01:33
191,200,195,5,0:00:21,0:02:30,0:02:48
192,154,150,4,0:00:21,0:02:29,0:02:45
193,163,155,8,0:00:23,0:02:18,0:02:26
194,12,12,0,0:00:25,0:03:37,0:01:28
195,218,212,6,0:00:20,0:01:56,0:04:11
196,172,163,9,0:00:18,0:02:09,0:01:53
197,205,194,11,0:00:18,0:02:24,0:01:41
198,178,168,10,0:00:23,0:02:28,0:02:50
199,214,201,13,0:00:23,0:02:11,0:02:24
200,169,161,8,0:00:23,0:02:17,0:04:35
201,46,46,0,0:00:25,0:02:24,0:01:35
202,183,177,6,0:00:18,0:02:30,0:01:07
203,208,190,18,0:00:21,0:02:25,0:01:50
204,234,224,10,0:00:22,0:02:15,0:03:20
205,204,194,10,0:00:18,0:02:17,0:01:50
206,204,189,15,0:00:21,0:02:15,0:03:56
207,99,99,0,0:00:16,0:02:25,0:01:02
208,29,27,2,0:00:19,0:02:47,0:02:22
209,167,159,8,0:00:23,0:02:28,0:04:35
210,164,161,3,0:00:17,0:02:35,0:01:37
211,158,147,11,0:00:21,0:02:34,0:02:03
212,165,161,4,0:00:17,0:02:26,0:01:06
213,129,124,5,0:00:23,0:02:28,0:01:50
214,155,149,6,0:00:23,0:02:26,0:04:19
215,24,22,2,0:00:28,0:02:24,0:01:21
216,209,200,9,0:00:23,0:02:24,0:02:11
217,239,226,13,0:00:26,0:02:19,0:02:50
218,229,210,19,0:00:29,0:02:23,0:08:16
219,194,172,22,0:00:23,0:02:20,0:06:16
220,202,179,23,0:00:24,0:02:16,0:02:50
221,268,254,14,0:00:15,0:01:51,0:02:40
222,52,49,3,0:00:18,0:02:18,0:02:17
223,414,397,17,0:00:23,0:01:58,0:05:32
224,346,325,21,0:00:27,0:02:22,0:02:45
225,187,179,8,0:00:25,0:02:14,0:02:59
226,203,186,17,0:00:24,0:02:38,0:04:35
227,204,194,10,0:00:18,0:02:33,0:02:02
228,126,121,5,0:00:21,0:02:32,0:01:51
229,36,36,0,0:00:17,0:02:07,0:01:31
230,180,165,15,0:00:27,0:02:30,0:02:19
231,169,162,7,0:00:20,0:02:25,0:01:53
232,155,151,4,0:00:21,0:02:20,0:02:45
233,169,137,32,0:00:38,0:02:24,0:05:30
234,61,45,16,0:00:32,0:02:49,0:05:30
235,167,136,31,0:00:42,0:02:36,0:05:28
236,32,27,5,0:00:35,0:02:22,0:03:10
237,229,148,81,0:00:36,0:02:48,0:10:39
238,208,204,4,0:00:19,0:03:06,0:05:14
239,175,168,7,0:00:25,0:02:51,0:03:44
240,177,167,10,0:00:22,0:02:41,0:04:24
241,822,767,55,0:00:24,0:01:25,0:04:35
242,87,85,2,0:00:23,0:02:25,0:02:17
243,41,39,2,0:00:15,0:02:42,0:01:18
244,280,257,23,0:00:31,0:02:33,0:07:55
245,199,192,7,0:00:22,0:02:46,0:02:48
246,252,239,13,0:00:29,0:02:29,0:03:36
247,220,208,12,0:00:20,0:02:36,0:02:45
248,206,193,13,0:00:24,0:02:27,0:03:37
249,217,206,11,0:00:22,0:02:26,0:02:02
250,24,24,0,0:00:19,0:02:50,0:01:07
251,248,238,10,0:00:13,0:02:27,0:01:50
252,222,212,10,0:00:20,0:02:25,0:03:41
253,190,178,12,0:00:32,0:02:27,0:02:45
254,238,231,7,0:00:20,0:02:27,0:02:03
255,214,205,9,0:00:20,0:02:34,0:02:34
256,186,176,10,0:00:23,0:02:15,0:05:03
257,21,20,1,0:00:14,0:02:25,0:00:54
258,169,157,12,0:00:21,0:02:29,0:04:30
259,149,141,8,0:00:16,0:02:38,0:02:37
260,171,164,7,0:00:19,0:02:22,0:03:49
261,127,122,5,0:00:13,0:02:22,0:01:25
262,21,21,0,0:00:08,0:03:03,0:00:58
263,5,5,0,0:00:14,0:02:37,0:00:59
264,33,32,1,0:00:26,0:02:04,0:01:45
265,145,139,6,0:00:20,0:02:28,0:03:41
266,129,127,2,0:00:19,0:02:13,0:01:49
267,194,178,16,0:00:26,0:02:36,0:05:20
268,194,187,7,0:00:24,0:02:25,0:03:44
269,202,195,7,0:00:21,0:02:21,0:02:59
270,214,208,6,0:00:13,0:02:19,0:00:57
271,28,28,0,0:00:13,0:02:13,0:01:18
272,191,187,4,0:00:15,0:02:23,0:01:40
273,205,197,8,0:00:21,0:02:27,0:02:23
274,198,196,2,0:00:23,0:02:28,0:02:03
275,184,177,7,0:00:20,0:02:41,0:01:50
276,184,174,10,0:00:25,0:02:27,0:02:47
277,168,160,8,0:00:26,0:02:25,0:02:04
278,39,37,2,0:00:14,0:02:08,0:01:03
279,225,210,15,0:00:28,0:02:13,0:02:33
280,182,174,8,0:00:32,0:02:16,0:03:56
281,346,305,41,0:00:45,0:01:57,0:05:07
282,450,441,9,0:00:19,0:01:53,0:02:31
283,259,248,11,0:00:20,0:02:06,0:01:51
284,231,214,17,0:00:18,0:02:06,0:02:31
285,48,47,1,0:00:13,0:02:03,0:01:46
286,246,236,10,0:00:20,0:02:11,0:04:36
287,202,195,7,0:00:25,0:02:15,0:05:33
288,153,150,3,0:00:15,0:02:15,0:02:12
289,178,172,6,0:00:19,0:02:15,0:04:35
290,172,165,7,0:00:19,0:02:24,0:03:24
291,208,200,8,0:00:26,0:02:23,0:03:15
292,77,76,1,0:00:29,0:02:16,0:01:54
293,291,250,41,0:00:41,0:02:20,0:07:10
294,219,212,7,0:00:21,0:02:19,0:01:50
295,173,169,4,0:00:18,0:02:13,0:02:14
296,204,197,7,0:00:17,0:02:23,0:01:57
297,216,185,31,0:00:30,0:02:17,0:06:26
298,461,441,20,0:00:30,0:02:18,0:03:40
299,56,55,1,0:00:26,0:02:11,0:01:53
