Index,Incoming Calls,Incoming New Calls,Incoming Handoff Calls,Answered Calls,Answered New Calls,Answered Handoff Calls,Call Answering Rate,Blocked Calls,Blocking Probability,Dropping Probability,Response Time
1,132,92,40,124,86,37,0.94,8,0.060606,0.075,00:00:13
2,136,95,41,133,93,40,0.98,3,0.022059,0.02439,00:00:21
3,101,70,31,93,65,28,0.93,8,0.079208,0.096774,00:00:18
4,218,152,66,207,144,62,0.95,11,0.050459,0.060606,00:00:13
5,50,35,15,48,33,14,0.96,2,0.04,0.066667,00:00:21
6,132,92,40,124,86,37,0.94,8,0.060606,0.075,00:00:21
7,151,105,46,147,102,45,0.98,4,0.02649,0.021739,00:00:18
8,244,170,74,234,163,71,0.96,10,0.040984,0.040541,00:00:05
9,117,81,36,108,75,33,0.93,9,0.076923,0.083333,00:00:13
10,129,90,39,125,87,37,0.97,4,0.031008,0.051282,00:00:04
11,181,126,55,171,119,52,0.95,10,0.055249,0.054545,00:00:17
12,160,112,48,152,106,45,0.95,8,0.05,0.0625,00:00:03
13,179,125,54,170,118,51,0.95,9,0.050279,0.055556,00:00:17
14,287,200,87,272,190,82,0.95,15,0.052265,0.057471,00:00:11
15,221,154,67,216,150,65,0.98,5,0.022624,0.029851,00:00:21
16,190,133,57,172,121,51,0.91,18,0.094737,0.105263,00:00:20
17,51,35,16,47,32,14,0.93,4,0.078431,0.125,00:00:23
18,282,197,85,256,179,77,0.91,26,0.092199,0.094118,00:00:21
19,265,185,80,259,181,78,0.98,6,0.022642,0.025,00:00:04
20,78,54,24,72,50,22,0.93,6,0.076923,0.083333,00:00:02
21,88,61,27,87,60,26,0.99,1,0.011364,0.037037,00:00:20
22,199,139,60,189,132,57,0.95,10,0.050251,0.05,00:00:16
23,217,151,66,212,147,64,0.98,5,0.023041,0.030303,00:00:18
24,219,153,66,219,153,66,1.0,0,0.0,0.0,00:00:08
25,204,142,62,199,139,60,0.98,5,0.02451,0.032258,00:00:03
26,80,56,24,79,55,23,0.99,1,0.0125,0.041667,00:00:09
27,84,58,26,78,54,24,0.94,6,0.071429,0.076923,00:00:20
28,273,191,82,262,183,78,0.96,11,0.040293,0.04878,00:00:06
29,160,112,48,148,104,44,0.93,12,0.075,0.083333,00:00:10
30,164,114,50,150,104,46,0.92,14,0.085366,0.08,00:00:21
31,50,35,15,47,33,14,0.95,3,0.06,0.066667,00:00:10
32,196,137,59,188,131,56,0.96,8,0.040816,0.050847,00:00:13
33,118,82,36,109,76,33,0.93,9,0.076271,0.083333,00:00:17
34,43,30,13,41,28,12,0.96,2,0.046512,0.076923,00:00:09
35,271,189,82,268,187,81,0.99,3,0.01107,0.012195,00:00:17
36,294,205,89,282,196,85,0.96,12,0.040816,0.044944,00:00:24
37,82,57,25,79,55,24,0.97,3,0.036585,0.04,00:00:09
38,121,84,37,118,82,36,0.98,3,0.024793,0.027027,00:00:09
39,293,205,88,293,205,88,1.0,0,0.0,0.0,00:00:01
40,64,44,20,61,42,19,0.96,3,0.046875,0.05,00:00:02
41,235,164,71,230,160,69,0.98,5,0.021277,0.028169,00:00:16
42,110,77,33,110,77,33,1.0,0,0.0,0.0,00:00:01
43,79,55,24,78,54,23,0.99,1,0.012658,0.041667,00:00:10
44,31,21,10,28,19,9,0.91,3,0.096774,0.1,00:00:18
45,83,58,25,78,54,23,0.94,5,0.060241,0.08,00:00:08
46,135,94,41,125,87,38,0.93,10,0.074074,0.073171,00:00:21
47,289,202,87,262,183,79,0.91,27,0.093426,0.091954,00:00:11
48,220,154,66,211,147,63,0.96,9,0.040909,0.045455,00:00:23
49,247,172,75,239,166,72,0.97,8,0.032389,0.04,00:00:02
50,73,51,22,71,49,21,0.98,2,0.027397,0.045455,00:00:08
51,191,133,58,173,121,52,0.91,18,0.094241,0.103448,00:00:22
52,231,161,70,228,159,69,0.99,3,0.012987,0.014286,00:00:08
53,299,209,90,287,200,86,0.96,12,0.040134,0.044444,00:00:17
54,244,170,74,236,164,71,0.97,8,0.032787,0.040541,00:00:15
55,281,196,85,278,194,84,0.99,3,0.010676,0.011765,00:00:17
56,219,153,66,210,146,63,0.96,9,0.041096,0.045455,00:00:23
57,242,169,73,225,157,67,0.93,17,0.070248,0.082192,00:00:24
58,237,165,72,232,161,70,0.98,5,0.021097,0.027778,00:00:13
59,266,186,80,250,174,75,0.94,16,0.06015,0.0625,00:00:19
60,82,57,25,73,51,22,0.9,9,0.109756,0.12,00:00:05
61,246,172,74,241,168,72,0.98,5,0.020325,0.027027,00:00:12
62,281,196,85,261,182,79,0.93,20,0.071174,0.070588,00:00:01
63,217,151,66,212,147,64,0.98,5,0.023041,0.030303,00:00:23
64,70,49,21,65,46,19,0.94,5,0.071429,0.095238,00:00:05
65,186,130,56,184,128,55,0.99,2,0.010753,0.017857,00:00:08
66,44,30,14,40,27,12,0.92,4,0.090909,0.142857,00:00:13
67,94,65,29,94,65,29,1.0,0,0.0,0.0,00:00:08
68,38,26,12,37,25,11,0.98,1,0.026316,0.083333,00:00:23
69,158,110,48,143,100,43,0.91,15,0.094937,0.104167,00:00:11
70,165,115,50,158,110,48,0.96,7,0.042424,0.04,00:00:01
71,92,64,28,92,64,28,1.0,0,0.0,0.0,00:00:13
72,168,117,51,159,111,48,0.95,9,0.053571,0.058824,00:00:19
73,110,77,33,101,70,30,0.92,9,0.081818,0.090909,00:00:24
74,192,134,58,182,127,55,0.95,10,0.052083,0.051724,00:00:03
75,290,203,87,275,192,82,0.95,15,0.051724,0.057471,00:00:24
76,260,182,78,252,176,75,0.97,8,0.030769,0.038462,00:00:17
77,70,49,21,67,47,20,0.97,3,0.042857,0.047619,00:00:05
78,57,39,18,53,36,16,0.94,4,0.070175,0.111111,00:00:20
79,164,114,50,150,104,46,0.92,14,0.085366,0.08,00:00:21
80,230,161,69,220,154,66,0.96,10,0.043478,0.043478,00:00:08
81,297,207,90,279,194,84,0.94,18,0.060606,0.066667,00:00:14
82,62,43,19,56,39,17,0.91,6,0.096774,0.105263,00:00:04
83,77,53,24,76,52,23,0.99,1,0.012987,0.041667,00:00:11
84,91,63,28,88,61,27,0.97,3,0.032967,0.035714,00:00:20
85,245,171,74,237,165,71,0.97,8,0.032653,0.040541,00:00:15
86,128,89,39,125,87,38,0.98,3,0.023438,0.025641,00:00:19
87,201,140,61,190,133,57,0.95,11,0.054726,0.065574,00:00:07
88,243,170,73,238,166,71,0.98,5,0.020576,0.027397,00:00:19
89,64,44,20,60,41,19,0.95,4,0.0625,0.05,00:00:19
90,256,179,77,232,162,70,0.91,24,0.09375,0.090909,00:00:11
91,130,91,39,122,85,36,0.94,8,0.061538,0.076923,00:00:05
92,160,112,48,152,106,45,0.95,8,0.05,0.0625,00:00:05
93,286,200,86,277,194,83,0.97,9,0.031469,0.034884,00:00:22
94,34,23,11,30,20,10,0.91,4,0.117647,0.090909,00:00:08
95,247,172,75,224,156,68,0.91,23,0.093117,0.093333,00:00:10
96,284,198,86,264,184,79,0.93,20,0.070423,0.081395,00:00:06
97,236,165,71,219,153,66,0.93,17,0.072034,0.070423,00:00:15
98,44,30,14,42,29,13,0.97,2,0.045455,0.071429,00:00:16
99,71,49,22,66,45,20,0.93,5,0.070423,0.090909,00:00:17
100,208,145,63,199,139,60,0.96,9,0.043269,0.047619,00:00:08
101,92,64,28,87,60,26,0.95,5,0.054348,0.071429,00:00:08
102,260,182,78,249,174,74,0.96,11,0.042308,0.051282,00:00:09
103,270,189,81,264,185,79,0.98,6,0.022222,0.024691,00:00:02
104,81,56,25,76,52,23,0.94,5,0.061728,0.08,00:00:15
105,125,87,38,122,85,37,0.98,3,0.024,0.026316,00:00:18
106,251,175,76,235,164,71,0.94,16,0.063745,0.065789,00:00:03
107,260,182,78,244,171,73,0.94,16,0.061538,0.064103,00:00:17
108,266,186,80,266,186,80,1.0,0,0.0,0.0,00:00:04
109,172,120,52,158,110,47,0.92,14,0.081395,0.096154,00:00:04
110,200,140,60,182,127,54,0.91,18,0.09,0.1,00:00:14
111,58,40,18,56,39,17,0.98,2,0.034483,0.055556,00:00:09
112,65,45,20,59,40,18,0.91,6,0.092308,0.1,00:00:09
113,42,29,13,41,28,12,0.98,1,0.02381,0.076923,00:00:23
114,189,132,57,177,124,53,0.94,12,0.063492,0.070175,00:00:18
115,216,151,65,213,149,64,0.99,3,0.013889,0.015385,00:00:10
116,272,190,82,263,184,79,0.97,9,0.033088,0.036585,00:00:21
117,115,80,35,110,76,33,0.96,5,0.043478,0.057143,00:00:04
118,95,66,29,94,65,28,0.99,1,0.010526,0.034483,00:00:12
119,199,139,60,187,130,56,0.94,12,0.060302,0.066667,00:00:08
120,74,51,23,74,51,23,1.0,0,0.0,0.0,00:00:02
