Network Architecture: Geographical Data Slicing Map
===================================================

| Tower ID | Location         | Operator      | CSV Assigned Range |
|----------|------------------|---------------|--------------------|
| 1        | Mumbai (Dharavi) | Jio           | [0 to 18]          |
| 2        | Mumbai (Dadra)   | Jio           | [19 to 37]         |
| 3        | Navi Mumbai      | Jio           | [38 to 56]         |
| 4        | Mumbai (Wadala)  | Airtel        | [57 to 75]         |
| 5        | Mumbai (Vasai)   | Vi            | [76 to 94]         |
| 6        | Delhi (Connaught Place) | Jio           | [95 to 113]        |
| 7        | Noida (Sector 62) | Airtel        | [114 to 132]       |
| 8        | Gurugram (DLF CyberHub) | Vi            | [133 to 151]       |
| 9        | Delhi (Chandni Chowk) | BSNL          | [152 to 170]       |
| 10       | Bangalore (MG Road) | Jio           | [171 to 189]       |
| 11       | Bangalore (Koramangala) | Airtel        | [190 to 208]       |
| 12       | Bangalore (Indiranagar) | Vi            | [209 to 227]       |
| 13       | Bangalore (Malleshwaram) | BSNL          | [228 to 246]       |
| 14       | Kolkata (Esplanade) | Jio           | [247 to 265]       |
| 15       | Kolkata (Salt Lake Sector V) | Jio           | [266 to 284]       |
| 16       | Kolkata (Park Street) | Airtel        | [285 to 303]       |
| 17       | Kolkata (New Town Action Area 1) | Airtel        | [304 to 322]       |
| 18       | Kolkata (Sealdah) | Vi            | [323 to 341]       |
| 19       | Kolkata (Shyambazar) | BSNL          | [342 to 360]       |
| 20       | Kolkata (Dum Dum / Airport) | Jio           | [361 to 379]       |
| 21       | Kolkata (Jadavpur) | Airtel        | [380 to 398]       |
| 22       | Kolkata (Garia Bus Depot) | Vi            | [399 to 417]       |
| 23       | Kolkata (Alipore) | Jio           | [418 to 436]       |
| 24       | Kolkata (Ballygunge) | Airtel        | [437 to 455]       |
| 25       | Kolkata (Behala Chowrasta) | BSNL          | [456 to 474]       |
| 26       | Howrah (Railway Station) | Jio           | [475 to 493]       |
| 27       | Howrah (Shibpur Mandirtala) | Airtel        | [494 to 512]       |
| 28       | Howrah (Nabanna State Secretariat) | Vi            | [513 to 531]       |
| 29       | Howrah (Salkia AC Market) | BSNL          | [532 to 550]       |
| 30       | Howrah (Bally Bazar) | Airtel        | [551 to 569]       |
| 31       | Howrah (Santragachi Junction) | Jio           | [570 to 588]       |
| 32       | Howrah (Liluah)  | Vi            | [589 to 607]       |
| 33       | Howrah (Belur Math) | BSNL          | [608 to 626]       |
| 34       | Howrah (Kona Expressway) | Jio           | [627 to 645]       |
| 35       | Chennai (Central) | Jio           | [646 to 664]       |
| 36       | Chennai (Tambaram) | Airtel        | [665 to 683]       |
| 37       | Chennai (Nungambakkam) | Vi            | [684 to 702]       |
| 38       | Hyderabad (HITECH City) | Jio           | [703 to 721]       |
| 39       | Hyderabad (Charminar) | Airtel        | [722 to 740]       |
| 40       | Hyderabad (Banjara Hills) | Vi            | [741 to 759]       |
| 41       | Rajkot           | Jio           | [760 to 778]       |
| 42       | Ahmedabad (Navrangpura) | Airtel        | [779 to 797]       |
| 43       | Ahmedabad (SG Highway) | Vi            | [798 to 816]       |
| 44       | Pune (Kothrud)   | Airtel        | [817 to 835]       |
| 45       | Pune (Hinjewadi IT Park) | Vi            | [836 to 854]       |
| 46       | Pune (Shivajinagar) | Jio           | [855 to 899]       |
